taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
USA/WI-UW-3892/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3893/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(2/2)
USA/WI-UW-3894/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
USA/WI-UW-3895/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.429(3/3)
USA/WI-UW-3896/2020,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
USA/WI-UW-3897/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
USA/WI-UW-3898/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3899/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
USA/WI-UW-3900/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.519(1/1)
USA/WI-UW-3901/2021,B.1.596,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.596(1/1)
USA/WI-UW-3902/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.526(2/2)
USA/WI-UW-3903/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
USA/WI-UW-3904/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
USA/WI-UW-3905/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3906/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.526(4/4)
USA/WI-UW-3907/2021,B.1.637,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.637(1/1)
USA/WI-UW-3908/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.429(1/1)
USA/WI-UW-3909/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
USA/WI-UW-3910/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3892/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3893/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(2/2)
hCoV-19/USA/WI-UW-3894/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3895/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.429(3/3)
hCoV-19/USA/WI-UW-3896/2020,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3897/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
hCoV-19/USA/WI-UW-3898/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3899/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
hCoV-19/USA/WI-UW-3900/2021,B.1.1.519,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.519(1/1)
hCoV-19/USA/WI-UW-3901/2021,B.1.596,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.596(1/1)
hCoV-19/USA/WI-UW-3902/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.526(2/2)
hCoV-19/USA/WI-UW-3903/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
hCoV-19/USA/WI-UW-3904/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(2/2)
hCoV-19/USA/WI-UW-3905/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3906/2021,B.1.526,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.526(4/4)
hCoV-19/USA/WI-UW-3907/2021,B.1.637,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.637(1/1)
hCoV-19/USA/WI-UW-3908/2021,B.1.429,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.429(1/1)
hCoV-19/USA/WI-UW-3909/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3910/2021,B.1.2,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.2(1/1)
hCoV-19/USA/WI-UW-3936/2021,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
hCoV-19/USA/WI-UW-3937/2021,B.1.1.7,0.0,,,,,,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
hCoV-19/USA/WI-UW-3938/2021,B.1.427,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.17,4.1.3,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.04,Usher placements: B.1.427(1/1)
